0.422474,-0.119479,2.9511
0.797137,-0.109302,45.1172
-0.490989,0.105901,11.5095
0.762803,-0.0243069,47.7503
0.691254,-0.118594,30.7637
-0.345556,-0.0372567,27.3507
-0.343568,0.10657,1.12417
0.220633,-0.0512985,1.61708
0.80051,0.0813915,58.2922
-0.963029,-0.0163435,74.5238
-0.434345,0.178427,6.33869
-0.899435,0.0252034,63.2594
-0.784088,0.176369,37.9889
0.726795,-0.0223559,44.5372
-0.324944,0.00310927,18.3389
-0.49681,0.138369,6.57805
-0.387136,0.14424,4.65719
0.758026,-0.175151,34.037
-0.477324,0.122958,7.30871
0.715819,-0.109104,34.7577
-0.479235,0.0515217,19.8791
0.76752,-0.178718,35.1827
0.292986,-0.00759641,15.4734
-0.808567,-0.113392,60.6533
0.67297,-0.00445729,41.7984
0.622138,-0.0789692,28.1584
-0.796749,0.18299,39.5108
-0.541273,-0.113285,48.1962
0.403406,0.0565917,33.8076
-0.521011,0.015071,29.0399
0.943589,0.0950579,72.2041
0.908412,-0.0687077,63.258
-0.278009,-0.0962354,34.8297
0.532315,0.0322121,36.9417
0.554252,-0.134999,13.0273
-0.432367,0.0393918,18.5062
0.978942,-0.0517311,77.8956
-0.928489,0.080512,66.381
-0.341664,0.00669161,18.6576
0.433001,0.00238844,26.077
-0.219306,0.0310818,5.924
-0.905491,-0.0833233,67.2571
-0.844602,-0.028965,59.0581
0.833306,-0.128683,49.0082
0.337905,-0.0480129,10.1389
-0.348443,0.0457881,11.3173
-0.814276,0.024481,52.983
-0.48209,-0.0854996,42.0497
-0.967567,-0.167807,76.8521
0.35628,0.00295671,21.4411
-0.623526,0.15747,17.659
-0.335968,0.104536,1.31536
0.313144,-0.0254706,13.0659
0.943444,-0.113059,68.6506
-0.542535,-0.00558891,33.6798
-0.339423,0.118004,3.67349
0.690264,0.00859934,44.5265
-0.755294,0.0747601,42.6946
0.815604,0.127209,61.816
0.30915,0.10409,37.5281
0.446148,-0.108985,6.93066
-0.509391,-0.126589,48.6127
-0.813132,0.00184394,54.2736
-0.976079,0.123972,76.5765
-0.738289,-0.0730356,53.669
