0.1,0.1138
0.1,0.1175
0.1,0.1188
0.2,0.2168
0.2,0.2277
0.2,0.222
0.3,0.3332
0.3,0.3294
0.3,0.3267
0.4,0.4338
0.4,0.4222
0.4,0.4326
0.5,0.5277
0.5,0.5261
0.5,0.5295
0.6,0.6112
0.6,0.6295
0.6,0.6152
0.7,0.6932
0.7,0.6925
0.7,0.6977
0.8,0.7436
0.8,0.7398
0.8,0.7398
0.9,0.7822
0.9,0.7857
0.9,0.7783
1,0.825
1,0.8208
1,0.8173
1.1,0.8541
1.1,0.8473
1.1,0.8556
1.2,0.8836
1.2,0.8824
1.2,0.88
1.3,0.9011
1.3,0.9011
1.3,0.902
1.4,0.9218
1.4,0.9217
1.4,0.9229
1.5,0.9416
1.5,0.9418
1.5,0.9416
1.6,0.9529
1.6,0.955
1.6,0.9538
1.7,0.9668
1.7,0.9674
1.7,0.9663
1.8,0.9797
1.8,0.9792
1.8,0.9772
1.9,0.9869
1.9,0.9863
1.9,0.9865
2,0.9947
2,0.9939
2,0.994
